episode,rewards,loss,l2_grad,max_grad
605,-45.41,698.03,1.5984,21.9107
606,25.70,-57.68,0.2072,2.8944
607,39.49,713.51,0.9366,13.4950
608,-17.46,-73.27,0.4319,4.6372
609,37.73,-11.60,0.2195,2.9890
610,-42.73,-95.57,0.2398,2.9187
611,9.48,-73.77,0.4737,6.5787
612,20.25,-110.74,0.4687,7.3532
613,119.30,663.40,1.1958,16.0516
614,43.03,648.47,0.7654,11.8442
615,71.62,555.67,1.1168,15.3455
616,5.88,633.28,1.4085,19.9214
617,133.14,572.47,0.8583,11.1248
618,28.82,-97.59,0.4042,4.8423
619,62.95,353.05,0.9084,15.0922
620,138.99,470.85,1.5761,20.0731
621,98.60,345.10,0.6353,8.9551
622,-18.33,274.83,0.6222,8.0311
623,98.94,179.03,0.4123,5.8089
624,5.03,276.14,1.3599,15.0017
625,64.15,167.57,0.5004,6.0543
626,45.77,294.88,0.8181,10.4097
627,18.25,-144.95,0.4286,6.9720
628,106.33,185.43,1.1171,19.0310
629,9.22,-178.40,0.4954,5.0554
630,42.20,351.74,0.9241,9.2938
631,14.73,-226.94,0.4483,6.2354
632,-75.28,-201.34,0.6030,8.1703
633,29.73,13.18,1.4894,26.3315
634,21.34,-111.97,0.7092,9.5958
635,-5.15,-161.28,0.3285,3.4382
636,54.67,312.29,0.5572,8.6073
637,-5.00,338.00,0.6421,7.0419
638,96.82,316.98,0.8554,10.7034
639,-164.34,-33.01,0.2916,3.5824
640,24.36,374.51,1.3132,16.5848
641,103.83,292.74,1.1267,17.7730
642,34.10,-124.98,0.4515,5.5865
643,120.66,433.34,1.0165,15.5628
644,101.03,359.70,1.0028,14.7612
645,11.39,-87.08,0.2595,3.7599
646,45.62,432.73,1.4786,19.1639
647,94.95,404.32,0.8612,13.5809
648,40.37,-96.66,0.2290,3.6303
649,37.98,-99.64,0.1360,1.2737
