episode,loss,rewards,adv
717,38.37,98.92,25.0371
718,2.59,22.60,36.5550
719,-1.08,-40.07,10.2204
720,-6.53,-37.81,45.4569
721,4.16,7.82,25.7919
722,-0.55,-18.90,18.4373
723,0.54,3.97,34.5074
724,29.77,23.70,25.5216
725,0.08,-26.22,33.2961
726,30.05,85.13,50.0901
727,30.99,89.63,33.2405
728,28.27,59.43,37.1570
729,-0.33,-24.31,14.9045
730,-0.77,-11.94,33.1078
731,0.97,-5.18,36.5881
732,23.50,-5.03,16.7247
733,-1.33,-43.18,9.8581
734,-2.96,-41.57,21.2953
735,-2.87,-55.71,13.5918
736,27.04,69.17,23.8755
737,-3.28,-23.46,47.6980
738,18.38,37.25,24.4270
739,27.11,72.46,39.4563
740,33.48,130.86,35.6826
741,-10.07,-116.34,31.7351
742,0.75,26.87,52.1989
743,2.34,28.02,36.6930
744,30.96,97.53,37.3101
745,1.39,-26.36,13.6230
746,24.83,21.04,57.3648
747,32.23,128.10,77.3779
748,24.23,58.99,45.7217
749,29.87,100.45,46.8230
750,1.99,33.02,42.7107
751,32.96,110.22,36.9484
752,-5.70,-60.46,18.8472
753,2.15,52.88,58.4925
754,33.36,137.22,47.2779
755,29.28,96.66,28.1557
756,-0.52,32.70,67.4394
757,25.65,72.38,34.2953
758,-3.86,-59.94,11.9807
759,31.85,151.66,71.7597
760,1.59,30.64,47.0182
761,1.72,-4.18,21.4208
762,1.86,-24.21,9.7828
763,25.93,59.40,2.2219
764,2.41,19.77,21.1467
765,4.95,-43.27,45.6779
766,-16.38,-242.88,-14.7410
767,4.99,-54.97,-2.7405
768,-0.45,-76.14,23.5922
769,-7.46,-128.98,27.4515
770,-11.65,-139.45,19.7272
771,-15.96,-238.34,-11.8212
772,-3.87,-104.21,26.2155
773,-5.00,-131.58,2.0566
774,-1.78,-87.23,23.6510
775,1.11,-29.40,-0.5564
776,6.95,-22.32,2.0261
777,-9.61,-197.62,-10.5753
778,-4.56,-137.45,-0.1244
779,-1.23,-88.59,11.6171
780,20.77,87.49,42.3292
781,3.63,-49.41,20.7515
782,-5.23,-95.42,29.9636
783,-1.74,-63.87,31.1363
784,9.60,2.01,26.4333
785,3.74,-43.45,4.1821
786,23.28,88.28,25.7447
787,9.50,18.86,39.5424
788,-3.15,-86.24,4.7588
789,5.05,-73.41,-4.7765
790,9.78,24.53,61.2052
791,6.85,-54.28,29.2156
792,-7.58,-85.43,36.2609
793,-1.25,-31.51,34.2403
794,25.16,101.03,34.8378
795,23.41,65.10,21.1657
796,16.02,58.44,28.7669
797,22.86,86.81,29.1555
798,25.31,126.28,62.1021
799,24.12,96.09,20.7348
800,21.52,78.81,30.2110
801,13.97,34.94,53.8337
802,-16.42,-191.29,15.5001
803,16.56,67.84,66.8207
804,-2.19,-54.94,4.5589
805,22.23,79.78,27.9890
806,24.56,98.92,26.3617
807,23.92,87.88,33.2153
808,26.69,112.32,30.2423
809,23.57,88.44,28.0326
810,23.41,76.94,20.0996
811,23.76,101.77,38.9530
812,24.04,111.93,60.8578
813,20.15,96.42,47.6681
814,30.12,151.54,50.5913
815,-0.78,16.47,47.8133
816,23.54,100.23,52.8020
817,22.79,85.38,36.4216
818,22.97,73.98,12.9391
819,18.26,70.71,45.3655
820,21.80,82.93,27.2297
821,25.19,124.67,55.5719
822,22.63,63.27,13.0070
823,24.49,111.28,34.0295
824,18.32,48.59,19.6486
825,25.31,145.59,58.6915
826,16.83,90.18,56.4716
827,23.10,121.81,41.3454
828,-1.54,-16.08,19.0012
829,1.04,39.72,48.8216
830,2.56,25.49,32.8311
831,20.92,71.86,18.4273
832,-1.25,13.50,40.6372
833,20.63,125.58,78.8358
834,21.56,218.78,45.1591
835,1.10,7.82,23.0056
836,0.67,31.56,40.0104
837,-6.56,-22.16,62.1409
838,-0.90,5.69,38.4375
839,22.09,144.82,70.6563
