episode,rewards,loss,l2_grad,max_grad
457,-154.51,-5.45,0.3436,8.2912
458,-115.59,-3.89,0.1415,1.3679
459,-296.75,-0.91,0.3235,8.0979
460,-201.26,-4.19,0.1430,2.2447
461,-133.28,-4.76,0.2447,6.5745
462,-348.12,-2.81,0.2056,6.4456
463,-98.50,-6.13,0.3233,9.3013
464,-89.80,-6.04,0.3158,8.8712
465,-200.98,-5.41,0.3416,9.5455
466,-61.43,-5.14,0.1324,2.0825
467,-134.22,-5.64,0.3004,9.1100
468,-317.87,-2.65,0.3767,8.1458
469,-291.08,-5.87,0.3613,9.9183
470,-130.89,-5.60,0.3443,10.1190
471,-202.81,-4.82,0.2923,7.7841
472,-245.05,-5.48,0.4405,13.3204
473,-167.06,-5.55,0.3672,11.9293
474,-45.77,-5.35,0.2939,8.9838
475,-85.74,-5.62,0.3226,10.3132
476,-180.69,-4.88,0.2748,6.6526
477,-359.05,-7.30,0.3855,10.6615
478,-200.95,-2.58,0.2890,7.9761
479,-64.55,-7.51,0.4128,12.5894
480,-190.52,-4.81,0.3142,8.9982
481,-158.13,-5.97,0.2848,6.8666
482,-137.49,-5.96,0.2772,7.6810
483,-207.51,-4.52,0.1713,3.5280
484,-88.05,-3.28,0.1784,4.2397
485,-268.99,-2.58,0.2231,5.6998
486,-86.30,-6.17,0.3243,8.7536
487,-65.55,-6.83,0.3825,9.3634
488,-132.44,-6.89,0.3317,8.5226
489,-68.81,-3.50,0.1171,1.1297
490,-122.89,-3.50,0.2096,5.3301
491,-103.55,-6.91,0.3928,11.7043
492,-186.88,-3.78,0.2872,5.3191
493,-135.05,-6.74,0.3715,10.7981
494,-35.87,-7.45,0.2521,8.4398
495,-212.58,-5.24,0.2197,5.1590
496,-383.20,-2.07,0.2829,5.1181
497,-79.26,-6.69,0.3794,10.4657
498,-369.87,-5.74,0.4336,10.1518
499,-148.73,-7.45,0.3778,10.7452
500,-68.39,-6.43,0.2773,9.1685
501,-241.26,-5.21,0.4250,11.6823
502,-51.94,-6.32,0.3274,9.5035
503,-152.66,-7.21,0.3400,7.3855
504,-91.34,-7.25,0.3242,7.6923
505,-119.30,-7.09,0.3154,9.3444
506,-184.51,-5.98,0.2917,8.6382
507,-210.72,-4.19,0.2644,6.0683
508,-220.57,-8.37,0.4061,11.7007
509,-68.12,-2.37,0.3353,8.3072
510,-120.46,-7.21,0.3790,11.2420
511,-186.67,-1.41,0.2478,6.3462
