episode,loss,rewards
1282,48.10,500.00
1283,46.21,500.00
1284,46.70,500.00
1285,40.79,454.00
1286,47.62,500.00
1287,47.51,500.00
1288,48.12,500.00
1289,50.52,500.00
1290,46.92,500.00
1291,49.40,500.00
1292,47.24,500.00
1293,46.79,500.00
1294,47.55,500.00
1295,46.66,500.00
1296,0.27,28.00
1297,47.34,500.00
1298,49.55,500.00
1299,2.30,101.00
1300,46.71,500.00
1301,48.42,500.00
1302,47.66,500.00
1303,46.33,500.00
1304,47.25,500.00
1305,49.07,500.00
1306,50.21,500.00
1307,47.79,500.00
1308,45.26,500.00
1309,46.27,500.00
1310,48.16,500.00
1311,49.12,500.00
1312,48.76,500.00
1313,46.86,500.00
1314,45.71,500.00
1315,48.30,500.00
1316,46.13,500.00
1317,47.29,500.00
1318,48.02,500.00
1319,3.27,108.00
1320,46.78,500.00
1321,46.62,500.00
1322,48.13,500.00
1323,45.84,500.00
1324,48.27,500.00
1325,47.26,500.00
1326,48.30,500.00
1327,45.66,500.00
1328,46.68,500.00
1329,46.41,500.00
1330,46.92,500.00
1331,45.76,500.00
1332,47.36,500.00
1333,46.73,500.00
1334,45.61,500.00
1335,47.01,500.00
1336,46.85,500.00
1337,45.05,500.00
1338,47.41,500.00
1339,45.66,500.00
1340,47.17,500.00
1341,47.15,500.00
1342,46.04,500.00
1343,46.02,500.00
1344,46.22,500.00
1345,47.04,500.00
1346,44.74,500.00
1347,45.21,500.00
1348,47.81,500.00
1349,47.29,500.00
1350,45.35,500.00
1351,45.73,500.00
1352,46.67,500.00
1353,46.62,500.00
1354,44.05,500.00
1355,47.25,500.00
1356,44.72,500.00
1357,45.96,500.00
1358,45.26,500.00
