episode,loss,rewards
882,4.41,0.45
883,13.10,1.40
884,9.56,0.99
885,1.63,0.17
886,2.88,0.30
887,8.36,0.88
888,2.84,0.29
889,37.08,3.89
890,1.10,0.12
891,13.13,1.41
892,4.85,0.53
893,13.39,1.33
894,15.83,1.68
895,22.18,2.35
896,2.64,0.28
897,20.84,2.24
898,47.81,5.36
899,5.20,0.55
900,5.83,0.61
901,6.58,0.67
902,1.31,0.14
903,10.33,1.05
904,5.22,0.55
905,37.02,4.14
906,13.22,1.41
907,16.96,1.84
908,6.27,0.67
909,21.62,2.35
910,10.48,1.12
911,7.75,0.82
912,21.57,2.38
913,6.25,0.63
914,15.19,1.67
915,17.12,1.88
916,19.39,2.12
917,4.23,0.47
918,10.68,1.21
919,8.61,0.98
920,23.84,2.64
921,14.65,1.54
922,8.15,0.92
923,36.15,3.87
924,44.37,4.93
925,21.89,2.48
926,8.62,0.95
927,36.62,3.96
928,4.27,0.46
929,17.99,2.08
930,8.92,0.97
931,15.93,1.73
932,16.44,1.92
933,34.79,3.73
934,38.92,4.12
935,10.75,1.14
936,6.22,0.68
937,2.58,0.29
938,16.03,1.76
939,33.42,3.72
940,3.25,0.34
941,20.65,2.38
942,6.28,0.67
943,7.30,0.78
944,7.72,0.82
945,22.19,2.43
946,6.50,0.70
947,39.82,4.50
948,5.27,0.56
949,12.66,1.39
950,11.47,1.25
951,9.55,1.04
952,18.84,2.07
953,1.11,0.12
954,21.39,2.26
955,9.29,0.99
956,15.91,1.64
957,8.80,1.01
958,23.10,2.55
959,36.06,4.43
960,4.81,0.52
961,6.63,0.70
962,9.32,0.99
963,27.89,2.95
964,1.91,0.20
965,10.91,1.15
966,5.11,0.58
967,29.84,3.38
968,33.14,3.53
969,18.05,2.00
970,9.89,1.12
971,9.78,1.08
972,11.79,1.28
973,19.26,2.22
974,9.86,1.07
975,24.66,2.63
976,5.00,0.54
977,4.19,0.44
978,40.67,4.92
979,14.90,1.62
980,17.87,1.91
981,8.61,0.96
982,11.74,1.35
983,19.90,2.22
984,18.09,1.94
985,10.72,1.20
986,11.48,1.31
987,12.95,1.47
988,18.81,2.25
989,8.55,0.96
990,1.83,0.20
991,41.00,4.72
992,2.87,0.32
993,28.37,3.07
994,11.07,1.17
995,4.17,0.44
996,22.31,2.44
997,14.90,1.66
998,2.09,0.23
999,11.36,1.26
1000,1.58,0.16
1001,4.35,0.47
1002,16.99,1.94
1003,11.73,1.28
1004,5.67,0.58
1005,9.39,1.01
1006,5.84,0.64
1007,5.50,0.65
1008,15.98,1.73
1009,5.17,0.60
1010,8.16,0.79
1011,11.70,1.27
1012,6.78,0.73
1013,8.66,1.06
1014,5.84,0.61
1015,7.33,0.82
1016,23.73,2.65
1017,2.30,0.24
1018,12.56,1.50
1019,4.79,0.53
1020,24.36,3.02
1021,6.72,0.78
1022,7.37,0.81
1023,3.39,0.35
1024,31.72,3.87
1025,5.80,0.65
1026,16.15,1.88
1027,22.53,2.57
1028,16.28,1.83
1029,3.47,0.41
1030,51.17,6.81
1031,22.17,2.57
1032,14.85,1.65
1033,6.13,0.70
1034,16.00,1.78
1035,14.38,1.61
1036,7.15,0.87
1037,3.28,0.40
1038,7.12,0.86
1039,15.64,1.82
1040,23.51,2.75
1041,9.82,1.06
1042,5.80,0.67
1043,17.47,2.07
1044,31.20,3.80
1045,4.67,0.59
1046,13.93,1.61
1047,7.24,0.84
1048,8.14,0.96
1049,2.11,0.26
1050,8.63,0.99
1051,19.86,2.26
1052,9.82,1.16
