episode,rewards
1352,-131.48
1353,-179.54
1354,-115.02
1355,-195.41
1356,-114.83
1357,-105.47
1358,-166.83
1359,-131.82
1360,-185.38
1361,-51.83
1362,-99.42
1363,-198.01
1364,-79.70
1365,-195.46
1366,-108.83
1367,-252.60
1368,-110.17
1369,-116.38
1370,-68.01
1371,-54.13
1372,-25.52
1373,-56.14
1374,-12.04
1375,-3.47
1376,-8.81
1377,-0.25
1378,28.39
1379,-37.46
1380,-26.10
1381,17.60
1382,-55.77
1383,-49.78
1384,-72.24
1385,-33.18
1386,-43.75
1387,-114.86
1388,-33.79
1389,-236.60
1390,-75.32
1391,-36.40
1392,-17.02
1393,-28.49
1394,-45.89
1395,6.23
1396,1.18
1397,-17.29
1398,-11.27
1399,-33.05
1400,-16.83
1401,-0.00
1402,-8.82
1403,-8.36
1404,-25.06
1405,-40.12
1406,-63.06
1407,-8.80
1408,-55.47
1409,-122.65
1410,-38.99
1411,-22.32
1412,-59.04
1413,-82.70
1414,-16.70
1415,-24.39
1416,-39.41
1417,-44.64
1418,-164.68
1419,-100.37
1420,-158.61
1421,-35.10
1422,-95.68
1423,-72.50
1424,-111.33
1425,-47.34
1426,-32.83
1427,-36.80
1428,-33.63
1429,-109.24
1430,-117.71
1431,-140.33
1432,-158.62
1433,-105.00
1434,-227.46
1435,-106.43
1436,-186.42
1437,-121.70
1438,-155.05
1439,-186.13
1440,-68.86
1441,-124.31
1442,-99.44
1443,-103.90
1444,-138.18
1445,-101.71
1446,-84.20
1447,-82.21
1448,-105.54
1449,-45.24
1450,-48.71
1451,-72.70
1452,-91.91
1453,-25.87
1454,-46.70
1455,-52.14
1456,-36.14
1457,-85.96
1458,-19.78
1459,-50.72
1460,-96.81
1461,5.29
1462,90.45
1463,-14.12
1464,18.84
1465,-18.46
1466,-120.06
1467,-2.98
1468,89.15
1469,-27.74
1470,170.81
1471,90.32
1472,168.21
1473,36.65
1474,3.37
1475,-49.29
1476,-61.33
1477,-116.88
1478,-52.75
1479,-76.62
1480,-165.46
1481,171.21
1482,170.29
1483,-10.79
1484,1.28
1485,183.23
1486,199.96
1487,83.41
1488,207.03
1489,-179.06
1490,-55.66
1491,-43.74
1492,-81.08
1493,156.48
1494,-75.08
1495,237.38
1496,113.40
1497,178.20
1498,136.66
1499,210.33
1500,27.75
1501,94.76
1502,220.60
1503,-27.16
1504,-42.50
1505,219.76
1506,232.05
1507,123.09
1508,-161.97
1509,149.71
1510,164.82
1511,93.79
1512,208.80
1513,216.06
1514,227.40
1515,99.89
1516,106.33
1517,234.41
1518,83.38
1519,214.17
1520,-31.40
1521,-50.17
1522,-53.07
1523,96.03
1524,234.15
1525,-44.37
1526,100.90
1527,96.53
1528,-87.60
1529,-20.18
1530,90.97
1531,123.43
1532,118.47
1533,49.04
1534,-1.76
1535,24.02
1536,186.76
1537,114.40
1538,226.88
1539,206.00
1540,34.35
1541,233.10
1542,117.40
1543,215.99
1544,-198.29
1545,-86.03
1546,85.82
1547,-166.99
1548,101.61
1549,-52.63
1550,103.63
1551,68.52
1552,-25.01
1553,33.98
1554,-23.12
1555,54.10
1556,3.92
1557,-52.99
1558,17.78
1559,95.62
1560,74.97
1561,65.52
1562,138.48
1563,88.28
1564,-22.38
1565,-41.32
1566,-3.44
1567,222.15
1568,144.33
1569,123.98
1570,78.13
1571,-162.23
1572,67.97
1573,86.93
1574,199.02
1575,81.41
1576,124.46
1577,236.58
1578,82.91
1579,195.03
1580,58.65
1581,-27.38
1582,99.90
1583,187.35
1584,-126.77
1585,39.85
1586,-46.66
1587,30.14
1588,101.53
1589,111.14
1590,-31.50
1591,108.95
1592,218.33
1593,-8.10
1594,18.69
1595,38.44
1596,-103.50
1597,133.38
1598,-24.67
1599,116.58
1600,147.24
1601,147.51
1602,146.34
1603,81.90
1604,132.34
1605,-62.62
1606,103.84
1607,27.44
1608,124.77
1609,-161.40
1610,170.96
1611,-111.30
1612,250.53
1613,-3.32
1614,254.93
1615,224.19
1616,157.12
1617,144.73
1618,16.59
1619,142.43
1620,147.23
1621,-1.96
1622,269.79
1623,-84.23
1624,153.72
1625,-59.09
1626,75.80
1627,22.62
1628,-91.35
1629,234.11
1630,137.18
1631,195.49
1632,165.77
1633,64.24
1634,-97.84
1635,-91.58
1636,114.90
1637,29.06
1638,166.10
1639,128.33
1640,243.64
1641,-3.65
1642,228.42
1643,54.59
1644,4.38
1645,-4.31
1646,19.01
1647,23.64
1648,-14.78
1649,-46.58
1650,180.18
1651,41.21
1652,-165.19
1653,121.17
1654,229.36
1655,128.65
1656,138.62
1657,-4.00
1658,198.35
1659,204.10
1660,121.09
1661,118.62
1662,-63.43
1663,184.81
1664,-50.94
1665,207.33
1666,96.84
1667,-51.77
1668,-51.63
1669,-60.20
1670,63.33
1671,-79.96
1672,-62.76
1673,-30.58
1674,136.25
1675,237.50
1676,101.50
1677,-44.61
1678,236.91
1679,91.69
1680,128.57
1681,136.08
1682,-38.34
1683,-48.12
1684,-45.18
1685,-71.21
1686,166.41
1687,154.98
1688,112.08
1689,-61.43
1690,-28.99
1691,-173.16
1692,114.34
1693,72.42
1694,-16.01
1695,-94.37
1696,102.33
1697,-51.44
1698,72.31
1699,148.65
1700,71.02
1701,187.74
1702,252.57
1703,-93.19
1704,224.88
1705,127.04
1706,-9.76
1707,167.49
1708,249.71
1709,-32.73
1710,272.41
1711,138.18
1712,218.15
1713,196.72
1714,-10.37
1715,217.56
1716,196.47
1717,245.44
1718,-23.75
1719,113.00
1720,210.42
1721,250.68
1722,233.77
1723,179.36
1724,218.37
1725,151.95
1726,-45.52
1727,-27.72
1728,187.18
1729,-72.08
1730,23.98
1731,-6.78
1732,-86.45
1733,124.04
1734,-26.23
1735,176.12
1736,129.60
1737,103.21
1738,96.27
1739,239.38
1740,-69.00
1741,192.45
1742,170.95
1743,90.00
1744,183.54
1745,134.51
1746,-36.89
1747,220.88
1748,116.94
1749,110.28
1750,244.36
1751,-53.40
1752,246.33
1753,-32.51
1754,-50.50
1755,122.21
1756,175.65
1757,263.06
1758,-95.40
1759,192.83
1760,239.60
1761,133.36
1762,192.17
1763,-22.77
1764,-57.05
1765,-40.78
1766,223.71
1767,-40.10
1768,-25.90
1769,-61.12
1770,3.61
1771,230.46
1772,186.61
1773,190.59
1774,219.69
1775,201.53
1776,199.46
1777,-44.49
1778,235.59
1779,-109.40
1780,194.66
1781,180.47
1782,212.46
1783,190.69
1784,-52.00
1785,-59.48
1786,-39.24
1787,-65.52
1788,-30.00
1789,-28.59
1790,-4.67
1791,176.45
1792,176.89
1793,159.49
1794,-107.18
1795,185.18
1796,202.93
1797,179.38
1798,-19.91
1799,-56.74
1800,195.60
1801,-74.27
1802,-58.40
1803,-81.00
1804,212.75
1805,-27.79
1806,215.29
1807,186.05
1808,-37.38
1809,-32.85
1810,52.94
1811,246.83
1812,65.92
1813,111.50
1814,182.40
1815,227.07
1816,162.42
1817,208.47
1818,175.40
1819,195.59
1820,120.63
1821,189.57
1822,234.52
1823,196.80
1824,-13.26
1825,242.78
1826,255.23
1827,227.35
1828,240.38
1829,-16.22
1830,-61.05
1831,228.24
1832,-70.91
1833,262.57
1834,271.66
1835,155.42
1836,240.95
1837,-43.05
1838,250.46
1839,192.93
1840,155.81
1841,266.70
1842,-112.22
1843,193.57
1844,241.33
1845,252.26
1846,190.30
1847,259.81
1848,224.32
1849,205.29
1850,183.72
1851,-73.13
1852,235.42
1853,241.11
1854,189.57
1855,199.68
1856,-38.67
1857,195.14
1858,230.46
1859,229.89
1860,219.49
1861,238.05
1862,227.39
1863,217.32
1864,-11.29
1865,217.38
1866,194.30
1867,221.75
1868,209.88
1869,211.78
1870,202.90
1871,191.58
1872,228.94
1873,-123.79
1874,204.42
1875,202.78
1876,-60.41
1877,183.46
1878,-98.47
1879,241.05
1880,165.98
1881,-92.18
1882,-28.14
1883,123.52
1884,-34.78
1885,124.74
1886,131.31
1887,4.59
1888,28.59
1889,241.10
1890,-105.46
1891,-77.13
1892,234.28
1893,123.82
1894,242.33
1895,-8.51
1896,-89.69
1897,236.17
1898,234.46
1899,191.62
1900,-64.55
1901,206.43
1902,-19.52
1903,-15.42
1904,7.95
1905,194.97
1906,-45.69
1907,-38.56
1908,190.93
1909,254.53
1910,-28.87
1911,-20.57
1912,176.73
1913,245.85
1914,197.54
1915,242.82
1916,257.59
1917,209.49
1918,-42.07
1919,249.91
1920,254.17
1921,243.58
1922,200.69
1923,176.99
1924,240.86
1925,-9.53
1926,246.69
1927,-25.44
1928,-45.12
1929,217.69
